Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20120258229,12.10.2012,Method and Apparatus for Cooking Pizza,,H05B 3/68;A21D 13/08,Mindrup Jef,Mindrup Jef,
WO2000069752,24.11.2000,PIZZA DELIVERY BAGS AND METHODS,"[60/134,277 14.05.1999 US]",A47J 41/00;A47J 47/14;B65D 81/38;B65D 85/36,"PIZZA HUT, INC.","FORRESTER, Robert;ORTEGON, Homero",
WO2006033550,31.03.2006,PIZZA PACKAGE MADE OF SCRAP PAPE,[20-2004-0027455 23.09.2004 KR],B65D 85/36,"CHANG, Jae Seok","CHANG, Jae Seok",
US6126977,04.10.2000,Method of making laminated pizza crust,[08496894 1995-06-30T23:59:59.000Z US],A21D 13/00;A21C 3/00;A21C 3/02;A21C 11/00;A21C 11/00;A21D 8/00;A21D 8/00;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00;A21D 13/08,Paulucci Jeno F.,Bubar Ronald O.,
WO2000060946,20.10.2000,SYSTEM AND METHOD FOR PRODUCING PAR-BAKED PIZZA CRUSTS,"[09/291,445 13.04.1999 US]",A21B 3/13;A21C 11/00;A21D 8/06;A21D 13/00;A47J 43/20,"PIZZA HUT, INC.","KANAFANI, Hanny;ELNAKIB, Ossama, R.;HAYDEN, Staci, L.;ALAGNA, Michael, A.;BAUER, Jay, E.;HILTON, James, L.",
US20060240154,27.10.2006,Pizza pie having an outer cheese portion,[11111478 2005-04-21T23:59:59.000Z US],A21D 13/00;A21D 13/00,"PIZZA HUT, INC.",Craig Todd W.;Graham Peter G.;Nguyen Jennifer T.,
CA1156876,16.11.1983,FROZEN PIZZA AND METHOD,"[76,629 1979-09-18T23:59:59.000Z US]",A23G 3/00;A21B 5/02;A21C 11/00;A21D 15/02,,"DEACETIS, JAMES",
WO2001095729,21.12.2001,A PROCESS FOR MANUFACTURING STONE BAKED PIZZAS,[00650068.0 12.06.2000 EP],A21C 11/00;A21C 13/02;A21D 6/00;A21D 8/02;A21D 13/00,"BREDHALL LIMITED;MCGILLYCUDDY, Gene;DARMON, Jacinta","MCGILLYCUDDY, Gene;DARMON, Jacinta",
CA2426394,20.10.2003,PIZZA ADVERTISING AND DELIVERY BEACON,"[60/373,581 2002-04-19T23:59:59.000Z US]",G09F 19/00;G08B 5/36;G09F 7/00;G09F 19/22,"FRATZKE, FRANK V.","FRATZKE, FRANK V.",
EP1596660,24.11.2005,PIZZA AND CRUST HAVING AN IRREGULAR EDGE,"[2004001467 2004-01-21T23:59:59.000Z US, 35489603 2003-01-29T23:59:59.000Z US, 73217303 2003-12-09T23:59:59.000Z US, 75829604 2004-01-15T23:59:59.000Z US]",A21D 13/00;A21C 9/04;A21D 8/02,OETKER UK LTD DR,WALTER SHELLY;PAFKO WAYNE M;MORAD MOHAMED M,
US5720998,25.02.1998,"Multi-layered pizza product, and method of making",[08007346 1995-11-20T23:59:59.000Z US],A21D 13/00;A21C 11/00;A21C 11/00;A21C 11/12;A21D 13/00;A21D 13/00,"Pizza Hut, Inc.",Proctor Valerie A.;Heidebrecht Karen,
US5270686,15.12.1993,Pizza delivery container with tilt alarm,,G08N 21/00;B65D 85/30;B65D 85/36,MARTINEZ RAUL,Martinez Raul,
US6091053,19.07.2000,Heat-reserving container for pizza and furnace for the same,[10054331 1998-02-19T23:59:59.000Z JP],A21B 1/52;A47J 39/00;A47J 39/02,"Sataco Co., LTD",Aonuma Saburo,
US6281477,29.08.2001,Pizza delivery bags and methods,"[09569781 2000-05-12T23:59:59.000Z US, 60134277 1999-05-14T23:59:59.000Z US]",F24H 7/00;A47J 47/00;A47J 47/14;B65D 85/30;B65D 85/36,"Pizza Hut, Inc.","Forrester, Robert;Ortegon, Homero",
US20130295262,08.11.2013,METHOD AND APPARATUS FOR COOKING PIZZA,[AL2010U000029 2010-10-29T23:59:59.000Z IT],A21B 3/13;A21D 13/00,Giordano Giuseppe,Giordano Giuseppe,
US3938926,18.02.1976,Pizza pie forming machine,,A21C 11/00;A21C 11/00,FRAIOLI SR JOSEPH,Fraioli Joseph,
US20080308618,19.12.2008,"Space saving,fast erecting,disposable pizza container",,B65D 43/16;B65D 43/16,MARANELLI VITO,Maranelli Vito,
US7823489,03.11.2010,Systems and methods for making a pizza pie having an outer cheese portion,,A21C 11/12;A21C 11/00;A21D 13/00;B26B 19/00,"Pizza Hut, Inc.",Craig Todd W.;Graham Peter G.;Nguyen Jennifer T.,
US4159349,27.06.1979,Pizza pie and pie making methods,[05740288 1976-11-09T23:59:59.000Z US],A21C 9/00;A21C 9/04;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,CAIELLO JOSEPH A,Caiello Joseph A.,
US6843167,19.01.2005,System and method for producing par-baked pizza crusts,"[09539454 2000-03-30T23:59:59.000Z US, 60172237 1999-04-13T23:59:59.000Z US]",A21C 11/00;A21C 13/02;A21B 3/13;A21B 1/48;A21B 7/00;A21C 11/00;A21D 8/00;A21D 13/00,"Pizza Hut, Inc.",Kanafani Hanny;ElNakib Ossama R.;Hayden Staci L.;Alagna Michael A.;Bauer Jay E.;Hilton James L.,
US5277924,12.01.1994,Radio frequency proofing and convection baking apparatus and method for making pizza,,H05B 6/00;A21D 8/00;A21D 6/00;A21D 6/00;A21D 8/00;A21D 8/00;A21D 13/00;A21D 13/00;H05B 6/00;H05B 6/60,"Proctor & Schwartz, Inc.",Padilla James A.,
WO2000000034,07.01.2000,PROCESS AND APPARATUS FOR DEPOSITING AND SPREADING PIZZA SAUCE ONTO A PIZZA BASE,"[980522 29.06.1998 IE, 980523 29.06.1998 IE]",A21C 9/04,"BILLCREST PRODUCTS LIMITED;DARMON, Jacinta;McGILLICUDDY, Gene","DARMON, Jacinta;McGILLICUDDY, Gene",
WO2003077213,19.09.2003,"AN AUTOMATIC DISPENSER OF HOT PIZZAS AND THE LIKE, AND CORRESPONDING METHOD OF OPERATION",[T02002A 000202 08.03.2002 IT],G07F 9/10;G07F 11/60,"CIBOTEC, S.R.L.;FURLANETTO, Marco","FURLANETTO, Marco",
WO2003090188,31.10.2003,PIZZA ADVERTISING AND DELIVERY BEACON,"[60/373,581 19.04.2002 US]",G09F 7/00,"FRATZKE, Frank, V.","FRATZKE, Frank, V.",
US20130017306,18.01.2013,Preformed topping disc for providing a predetermined image on a pizza pie when baked,,A23C 19/00,Maestoso Sergio,Maestoso Sergio,
US6070791,07.06.2000,"Non-radially-symmetrical, pizza-box-fitable food cup",[09002153 1997-12-31T23:59:59.000Z US],B65D 5/42;B65D 1/40;B65D 5/20;B65D 5/20;B65D 77/04;B65D 77/04;B65D 81/34;B65D 81/34;B65D 85/30;B65D 85/36,CORRELL; JOHN D.,Correll John D.,
US20030196358,24.10.2003,Pizza advertizing and delivery beacon,"[10418091 2003-04-18T23:59:59.000Z US, 60373581 2002-04-19T23:59:59.000Z US]",G09F 13/02;G09F 7/00;G09F 7/00;G09F 7/00,,Fratzke Frank V.,
US5921170,14.07.1999,Apparatus for making and dispensing pizza,[60022603 1996-07-25T23:59:59.000Z US],A21C 9/04;A23L 37/10;A21C 9/00;A21C 9/06;A21C 9/04;A47J 37/10;A21C 9/08;A21C 11/00;A21C 11/00;A21D 6/00;A21D 6/00;A21D 13/00;A21D 13/00,Khatchadourian Puzant,Khatchadourian Puzant;Kouyoumdjian Krikor;Brini Bernardo,
US20050181098,19.08.2005,Method and apparatus for cutting a circile in the center of a pizza,,A23G 3/00;A21C 15/00;A21C 15/04;A21D 13/00;A21D 13/00;A23G 3/00;A23G 3/00;B26F 1/38;B26F 1/46,,Montague Roland Wescott,
US5074778,25.12.1991,Pizza crust dough forming die assembly,,A21C 11/00;A21C 11/00;A23G 3/02;A23G 3/20;B29C 43/36;B29C 43/36;B30B 15/02;B30B 15/02,"Pizza Systems, Inc.",Betts David E.;Theado Thomas O.,
US5484618,17.01.1996,Process of preparing a baked pizza,"[07835347 1992-02-14T23:59:59.000Z US, 08130420 1993-10-01T23:59:59.000Z US]",A23C 19/086;A23C 19/00;A23C 19/068;A23C 19/09;A23C 19/093;A23C 19/097,Leprino Foods Company,Barz Richard L.;Durkin Ann V.,
EP1468610,21.10.2004,Electric oven for baking pizza,[03425238 2003-04-17T23:59:59.000Z EP],A47J 37/04;A21B 1/22;A21B 1/22;F24C 7/04;A47J 27/62;A47J 37/06;F24C 7/04,CMT COSTR MECC & TEC,TOMATIS STEFANO,
US4944285,01.08.1990,Exhaust hood for pizza ovens,[07356765 1989-05-25T23:59:59.000Z US],F24C 15/20;F24C 15/20,GLASSMAN JOSEPH T,Glassman Joseph T.,
US4645673,25.02.1987,Frozen pizza with low fat pastry crust,,A21D 13/00;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/02,The Quaker Oats Company,Wilmes John H.,
US20040188365,01.10.2004,Shelving to hold pizza cartons,,A47F 7/00;A47F 1/00;A47F 1/08,,Forte Antonio,
US20040222278,12.11.2004,Material-saving pizza carton,"[10431984 2003-05-08T23:59:59.000Z US, 10799541 2004-03-11T23:59:59.000Z US]",B65D 5/00;B65D 5/20;B65D 5/20;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,,Correll John D.,
US6440050,28.08.2002,Method of forming a variable sized and shaped pizza box and apparatus thereof,[09663984 2000-09-19T23:59:59.000Z US],B31B 1/25;B65D 5/54;B31B 3/00;B31B 3/00;B65D 5/00;B65D 5/20;B65D 5/20;B65D 5/355;B65D 5/42;B65D 5/42;B65D 5/54;B65D 5/54;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,CAPPARELLI PATSY R.;DAVIS TIMOTHY D.,"Capparelli, Patsy R.;Davis, Timothy D.",
US6077553,21.06.2000,Method of making a pizza with the crust being in the center,,A21D 13/00;A21D 13/00;A21D 13/00,ANDERSON; KENT G.,Anderson Kent G.,
US4514089,01.05.1985,Apparatus to process pizza dough,,A21C 1/00;B28C 1/16;A21C 7/00;A21C 7/00;A21C 11/00;A21C 11/00,MEYNET ARMANDO E,Meynet Armando E.,
US20030079445,02.05.2003,Method for reducing heat loss of hot pizzeria pizza shipped in corrugated box packaging,"[08731586 1996-10-16T23:59:59.000Z US, 09061302 1998-04-16T23:59:59.000Z US, 09394784 1999-09-13T23:59:59.000Z US, 09551245 2000-04-17T23:59:59.000Z US, 09730294 2000-12-05T23:59:59.000Z US, 10319968 2002-12-16T23:59:59.000Z US]",B65B 5/04;B65D 5/20;B65D 5/20;B65D 5/22;B65D 5/42;B65D 5/42;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,,"Correll, John D.",
EP1331170,31.07.2003,Container for take-away pizza,[02425021 2002-01-23T23:59:59.000Z EP],B65D 5/20;B65D 5/20;B65D 5/66;B65D 85/36,TOSCANA ONDULATI S P A,CASELLI JUNIO,
CA2041397,12.04.1992,MICROWAVE HEATING AND VENDING MACHINE FOR PIZZAS OR THE LIKE,"[595,446 1990-10-10T23:59:59.000Z US]",G07F 9/10;G07F 11/60,,"DAVIS, WILLIAM P., JR.;SWANK, ROLAND P.;ALLEN, JERRY",
WO2008116276,03.10.2008,DECORATIVE DEVICES OF MOBILES AND ASSEMBLING TOYS APPLIED TO PIZZA BOXES AND SIMILARS,[MU 8700616-2 27.03.2007 BR],B65D 81/36,"Junior, Constantino Kostakis;Geddo, Claudia D'andréa","Junior, Constantino Kostakis;Geddo, Claudia D'andréa",
WO2003099019,05.12.2003,"DOUGH-BASED SUPPORT, IN PARTICULAR FOR A PIZZA",[VE2002 A 000018 23.05.2002 IT],A21C 11/00;A21D 13/00,"TRANI, Giorgio;STERNER, Marion","TRANI, Giorgio;STERNER, Marion",
US6092715,26.07.2000,Easy-to-use pizza box,,B65D 5/24;B65D 5/20;B65D 5/20;B65D 5/30;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,CORRELL; JOHN D.,Correll John D.,
US6086934,12.07.2000,Apparatus and method for making pizza,"[08900031 1997-07-24T23:59:59.000Z US, 60022603 1996-07-25T23:59:59.000Z US]",A21D 6/00;A21C 9/00;A21C 9/04;A21C 9/08;A21C 11/00;A21C 11/00;A21D 6/00;A21D 6/00;A21D 13/00;A21D 13/00,Khatchadourian Puzant,Khatchadourian Puzant;Kouyoumdjian Krikor;Brini Bernardo,
US5171367,16.12.1992,Apparatus for applying sauce to a pizza,,A21C 9/00;A21C 9/04;A23P 1/08;A23P 1/08,FITCH JR CLIFFORD E,Fitch Clifford E.,
US20020077912,21.06.2002,Method and user interface for specifying toppings and their placement on a pizza,"[09949389 2001-09-07T23:59:59.000Z US, 60230680 2000-09-07T23:59:59.000Z US]",G09G 5/00;G06Q 30/00;G06Q 30/00,IPDEV Co.,"Kargman, James B.",
CA2261878,06.02.1998,APPARATUS AND METHOD FOR MAKING PIZZA,"[60/022,603 1996-07-25T23:59:59.000Z US]",A21C 3/02;A21C 9/00;A21C 9/04;A21C 11/10,"KHATCHADOURIAN, PUZANT","KHATCHADOURIAN, PUZANT;BRINI, BERNARDO;KOUYOUMDJIAN, KRIKOR",
US4551337,06.11.1985,Fried pizza product and process for preparing same,,A21D 13/00;A21D 13/00;A21D 13/00,"Jeno's, Inc.",Schmit Justin M.;Luoma Eugene H.,
EP1462033,30.09.2004,Shelving to hold pizza cartons,"[GE20030009U 2003-03-25T23:59:59.000Z IT, GE20030016U 2003-06-13T23:59:59.000Z IT]",A47F 1/08;A47F 1/08,FORTE ANTONIO,FORTE ANTONIO,
US5445314,30.08.1995,Space saver pizza box and method of use,,B65D 25/04;B65D 5/48;B65D 5/4805;B65D 5/49;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,NEWSOME; REGINALD W.,Newsome Reginald W.,
US4955125,12.09.1990,Method of forming a pizza grill,,A47J 37/06;A47J 37/06;B21D 53/00;B21D 53/00,STEINMAN GERALD W,Steinman Gerald W.,
CA1092887,07.01.1981,PIZZA PIE AND PIE MAKING METHODS,"[740,288 1976-11-09T23:59:59.000Z US]",A21D 13/00;A21C 9/04;A21C 11/00,,"CAIELLO, JOSEPH A.",
US20040238613,03.12.2004,Quality maintaining pizza/food take-out box,"[10448165 2003-05-30T23:59:59.000Z US, 10681981 2003-10-09T23:59:59.000Z US]",B65D 25/04;B65D 25/04;B65D 5/50;B65D 5/50;B65D 85/30;B65D 85/36,LEHRER RICHARD M,Lehrer Richard M.,
WO2002021250,15.03.2002,METHOD AND USER INTERFACE FOR SPECIFYING TOPPINGS AND THEIR PLACEMENT ON A PIZZA,"[60/230,680 07.09.2000 US]",G06Q 30/00;G07F 9/02;G07F 9/10,"KARGMAN, James, B.","KARGMAN, James, B.",
WO2001070086,28.09.2001,SYSTEM FOR PRODUCING PAR-BAKED PIZZA CRUSTS,"[09/527,802 17.03.2000 US]",A21B 3/13;A21C 11/00;A21D 8/06;A21D 13/00,"PIZZA HUT, INC.","SCANNEL, Stephen, C.",
il128228,13.09.2002,APPARATUS AND METHOD FOR MAKING PIZZA,[60/022603 1996-07-25T23:59:59.000Z US],,PUZANT KHATCHADOURIAN,,
US20060240153,27.10.2006,Systems and methods for making a pizza pie having an outer cheese portion,,A21C 11/00;A21C 11/12;A21C 11/00;A21D 13/00;A21D 13/00;B26B 19/14;B26B 19/14,"Pizza Hut, Inc.",Craig Todd W.;Graham Peter G.;Nguyen Jennifer T.,
US7284687,24.10.2007,Pizza tray,[10354487 2003-01-30T23:59:59.000Z US],B65D 5/46;B65D 5/46,MINIDIS JAMES DEAN,Minidis James Dean,
WO2013092176,28.06.2013,PIZZA DOUGH COMPRISING MALTED BARLEY FLOUR,"[US 20111221 61/578,574]",A21D 2/38;A21D 13/00,NESTEC S.A.,"COLE, Frank Arthur;STUDTMANN, James Christian;HARDWICK, Jeremy",
US20090184103,24.07.2009,"Modular pizza oven kit, pizza oven finger assembly support, and a method of operating a pizza oven at different speeds and a control arrangement for performing the method",,F27B 9/06;A47J 37/08,French Michael;Bielstein Mark A.,French Michael;Bielstein Mark A.,
WO1997048283,25.12.1997,PIZZA CHEESE,"[60/020,245 21.06.1996 US]",A23C 19/05;A23C 19/068,WISCONSIN ALUMNI RESEARCH FOUNDATION,"CHEN, Carol, M.;JOHNSON, Mark, E.",
WO1998004137,06.02.1998,APPARATUS AND METHOD FOR MAKING PIZZA,"[60/022,603 25.07.1996 US]",A21C 9/04,"KHATCHADOURIAN, Puzant;KOUJOUMDIJIAN, Krikor;BRINI, Bernardo","KHATCHADOURIAN, Puzant;KOUJOUMDIJIAN, Krikor;BRINI, Bernardo",
EP0914045,13.05.1999,APPARATUS AND METHOD FOR MAKING PIZZA,"[2260396 1996-07-25T23:59:59.000Z US, 9714353 1997-07-25T23:59:59.000Z US]",A21C 9/00;A21C 3/02;A21C 3/02;A21C 11/06;A21C 9/00;A21C 11/10;A21C 9/04;A21C 9/08;A21C 11/00;A21C 11/06;A21C 11/10;A21D 6/00;A21D 13/00,KHATCHADOURIAN PUZANT,KHATCHADOURIAN PUZANT;KOUYOUMDJIAN KRIKOR;BRINI BERNARDO,
CA2598830,29.02.2008,PIZZA CONTAINER,"[60/840,547 2006-08-28T23:59:59.000Z US]",B65D 5/54;B65D 5/10,ARVCO CONTAINER CORPORATION,"HANNA, D. MATT;FORD, ROBERT A.",
EP1545161,23.06.2005,Cooling structure for oven door of microwave oven usable as pizza oven,[20030093007 2003-12-18T23:59:59.000Z KR],F24C 15/18;H05B 6/80,DAEWOO ELECTRONICS CORP,KIM SEUNG-HOE;YANG KYUNG-HOI,
WO1997025870,25.07.1997,"MULTI-LAYERED PIZZA PRODUCT, AND APPARATUS AND METHOD FOR MAKING","[60/010,036 16.01.1996 US, 08/587,912 16.01.1996 US]",A21C 11/00;A21C 11/12;A21D 13/00,"PIZZA HUT, INC.;PROCTOR, Valerie;WOODWARD, Steven;MABE, James, E., Jr.;DYER, Malcolm, F.;HEIDEBRECHT, Karen","PROCTOR, Valerie;WOODWARD, Steven;MABE, James, E., Jr.;DYER, Malcolm, F.;HEIDEBRECHT, Karen",
US4997670,06.03.1991,Method of baking pizza from coated frozen cheese granules,"[07036022 1987-04-08T23:59:59.000Z US, 07142910 1988-01-12T23:59:59.000Z US, 07285305 1988-12-15T23:59:59.000Z US]",A21D 13/00;A21D 13/00;A23C 19/00;A23C 19/097,Leprino Foods Company,Kielsmeier Lester O.;Barz Richard L.;Allen Wesley J.,
US6222987,25.04.2001,"Pizza box heater, components therefor and method",[09306279 1999-05-06T23:59:59.000Z US],F24H 3/00;A47J 47/00;A47J 47/14;F24C 7/10;F24C 7/10;F24C 15/00;F24C 15/00,"Jackson, Jr., Auzville","Duke, William Lee;Conway, Jr., Hugh A.",
US20140308395,17.10.2014,PIZZA DOUGH COMPRISING MALTED BARLEY FLOUR,,A21D 13/00,,,
EP0554926,12.08.1993,Process for the industrial preparation of pizzeria pizzas,[MI920100 1992-01-22T23:59:59.000Z IT],A21D 13/00;A21D 13/00,BRAIBANTI GOLFETTO SPA,DEGLI ANGELI ALESSANDRO;DALBON GERARDO,
CA2202841,20.10.1997,PLATE FOR PIZZAS AND SUCHLIKE FOOD PRODUCTS,[96870052.6 1996-04-19T23:59:59.000Z EP],A47G 29/00;A47G 19/02;A47J 39/02,"ARONICA, CATALDO;MINDEL, ANNA","ARONICA, CATALDO",
US20070169636,27.07.2007,Pizza pan,"[11657802 2007-01-25T23:59:59.000Z US, 60761990 2006-01-25T23:59:59.000Z US]",A47J 31/00;A47J 31/00,CARLSON EDWARD SCOTT;EDWARDS DONALD V,Carlson Edward Scott;Edwards Donald V.,
US20090285939,20.11.2009,Multi-piece Pizza With Peripheral Crust Structure and Method and Apparatus for Forming the Same,,A21D 8/02;A21D 8/02;A21D 2/00;A21D 2/08,,Matthews Kevin P.,
US20020090422,12.07.2002,Method of configuring a slice of a pizza-type pie and an apparatus for preparing a pizza-type pie,"[09954491 2001-09-11T23:59:59.000Z US, 60231803 2000-09-11T23:59:59.000Z US]",A23G 3/00;A21C 15/00;A21C 15/00;A21D 8/00;A21D 8/00;A21D 13/00;A21D 13/00,DERAUD MARK;GAMBEL ADAM,DeRaud Mark;Gambel Adam,
EP0507305,08.10.1992,"A tray-like container for food articles, particularly pizzas.",[MI910288U 1991-04-04T23:59:59.000Z IT],B65D 5/00;B65D 5/00;B65D 5/20;B65D 5/20;B65D 85/36;B65D 85/36,ICL IMBALLAGGI,DE BELLIS LEONARDO,
WO2002021927,22.03.2002,A METHOD OF CONFIGURING A SLICE OF A PIZZA-TYPE PIE AND AN APPARATUS FOR PREPARING A PIZZA-TYPE PIE,"[60/231,803 11.09.2000 US]",A21C 9/04;A21C 15/00;A21D 8/00;A21D 13/00,"DeRaud, Mark;Gambel, Adam","DeRaud, Mark;Gambel, Adam",
US20080048013,29.02.2008,Pizza container,,B65D 43/14;B65D 43/14,Arvco Container Corporation,Hanna D. Matt;Ford Robert A.,
WO2009142818,27.11.2009,MULTI-PIECE PIZZA WITH PERIPHERAL CRUST STRUCTURE AND METHOD AND APPARATUS FOR FORMING THE SAME,"[12/122,890 19.05.2008 US]",A21D 8/00;A21D 13/00,"MATTHEWS, Kevin, P.","MATTHEWS, Kevin, P.",
US6113953,06.09.2000,Manufacture of lower-fat and fat-free pizza cheese,,A23C 9/13;A23C 9/12;A23C 19/00;A23C 19/05;A23C 19/05;A23C 19/08;A23C 19/068;A23C 19/082,Utah State University,McMahon Donald J.;Oberg Craig J.,
US4556046,04.12.1985,Hood for oven in pizza delivery vehicle,,F24C 15/20;F24C 15/20;F24C 15/20,"Pizza Hut, Inc.",Riffel Leonard F.;Barrera Ricardo,
US5263634,24.11.1993,Safety carton for pizza and similar articles,,B65D 5/20;B65D 5/20;B65D 5/20;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,KORINE GIL J,Korine Gil J.,
CA2731260,15.09.2000,METHOD FOR COOKING A PIZZA,"[09/267,981 1999-03-12T23:59:59.000Z US]",A23L 1/01;A21B 1/00,"NATIONAL PRESTO INDUSTRIES, INC.","HEDRINGTON, JAMES ALAN;DRESSEL, BRENT WILLIAM",
US20110104339,06.05.2011,"DOUBLE-CRUSTED PIZZA PRODUCTS, AND METHODS FOR PRODUCING SAME",,A21D 13/00;A23L 1/00,KRAFT FOODS GLOBAL BRANDS LLC,"Dodd Kristin N.;Greiner Steven P.;Conway, III Bernard William;Yost Rachel;Foster Lisa A.;Stockwell Patricia",
US4616562,15.10.1986,Ventilation system for pizza ovens,,F24C 15/20;F23J 11/00;F24C 15/20;F24C 15/20,KUECHLER IRVIN R,Kuechler Irvin R.,
US3979525,08.09.1976,Process for retarding mold growth in partially baked pizza crusts and articles produced thereby,[05353698 1973-04-23T23:59:59.000Z US],A21D 13/00;A21D 15/02,Fairmont Foods Company,Plemons Robert F.;Staff Charles H.;Cameron J. F. Ross,
US4520035,29.05.1985,Pizza dough package and method of making same,[06379469 1982-05-18T23:59:59.000Z US],A21D 10/02;A21C 9/00;A21C 9/06;A21D 10/00;A21D 10/02,LAMONICA MARK A,Lamonica Mark A.,
CA2638688,18.02.2009,AUTOMATED CHEESE SHREDDER FOR APPLYING CHEESE TO PIZZA,"[12/191,004 2008-08-13T23:59:59.000Z US, 60/956,508 2007-08-17T23:59:59.000Z US]",A47J 43/25,"LITTLE CAESAR ENTERPRISES, INC.","FRITZ-JUNG, CATHRYN",
US20110272411,11.11.2011,PIZZA BOX,,B65D 5/484;B65D 5/4805,SANDERS Scott;WHITE Glenn,SANDERS Scott;WHITE Glenn,
US20050139507,01.07.2005,"Dough-based support, in particular for a pizza",[2002VE0018 2002-05-23T23:59:59.000Z IT],A45C 11/20;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,,Trani Giorgio;Sterner Marion,
US4416904,23.11.1983,Shelf stable pizza and method for preparing same,,A21D 13/00;A21D 13/00,The Quaker Oats Company,Shannon Edward L.,
CA2048222,02.02.1993,PIZZA PRODUCT,,A21D 8/02;A21D 13/00;A21D 15/00;A23P 1/08,DOUGH DELIGHT LTD.,"FUTTRUP, PAUL",
US20050049922,04.03.2005,Method and apparatus for specifying toppings and their placement on a pizza and confirming same,"[10807783 2004-03-24T23:59:59.000Z US, 60457028 2003-03-24T23:59:59.000Z US]",G06F 17/60;G07F 9/02;G07F 9/02;G07F 9/10;G07F 9/10;G07F 11/70;G07F 11/70,IPDEV CO.,Kargman James B.,
US20100313432,17.12.2010,Dual disk pizza cutter and methods,,B26D 1/157;B26D 3/24,Caswell Ty,Caswell Ty,
US20030211215,14.11.2003,Method and system for managing pizza dough ball proofing,[10144482 2002-05-13T23:59:59.000Z US],A21D 10/00;A21C 13/00;A21C 13/00;A21D 6/00;A21D 6/00;A21D 10/00;A21D 10/02,,Correll John D.;Bounas Andrew,
EP0920259,10.06.1999,PIZZA CHEESE,"[2024596 1996-06-21T23:59:59.000Z US, 9710761 1997-06-20T23:59:59.000Z US]",A23C 19/068;A23C 19/05;A23C 19/05;A23C 19/068,WISCONSIN ALUMNI RES FOUND,CHEN CAROL M;JOHNSON MARK E,
CA2016489,23.11.1990,PROCESS AND AN APPARATUS FOR PASTEURIZING AND PRECOOKING UNCOOKED PIZZA BASES,[1920/89-5 1989-05-22T23:59:59.000Z CH],A21D 8/06;A21B 1/48;A21B 2/00;A21D 15/04;A23L 1/01;A23L 3/005;H05B 6/80,,"RAETZ, EBERHARD;LE VIET, TOAI",
EP0691078,11.01.1996,Method for the industrial preparation of pizzas of pizzeria or pizza napoletana type,[MI941197 1994-06-08T23:59:59.000Z IT],A21D 8/04;A21D 13/00;A21D 8/04;A21D 13/00,BRAIBANTI M G SPA,DEGLI ANGELI ALESSANDRO,
EP0989067,30.03.2000,"Container for transporting heated food, particularly pizza",[TO980772 1998-09-11T23:59:59.000Z IT],B65D 43/16;B65D 21/02;B65D 43/16;B65D 51/16;B65D 51/28;B65D 85/36,AGAPI TRADE AG,LIZZIO FILIPPO,
US20050133503,24.06.2005,Cooling structure for oven door of microwave oven usable as pizza oven,[1020030093007 2003-12-18T23:59:59.000Z KR],G05B 6/80;F24C 15/18;H05B 6/80,Daewoo Electronics Corporation,Kim Seung Hoc;Yang Kyung Hoi,
EP2570444,21.03.2013,Pizza container,[11181365 2011-09-15T23:59:59.000Z EP],C08G 63/553;B65D 81/34;C08G 69/34,DSM IP ASSETS BV,HEUVEL VAN DEN PAUL WILLEM JAN;AUSSEMS HENDRICUS FRANCISCUS,
US5247149,22.09.1993,Method and appliance for cooking a frozen pizza pie with microwave energy,,B65D 81/34;B65D 81/34,The Stouffer Corporation,Peleg Yigal,
EP0574072,16.12.1993,Heating box for the transportation of pizzas and quiches.,[9200505 1992-06-03T23:59:59.000Z BE],B65D 81/34;A47J 47/14;A47J 41/00;A47J 47/14;B65D 81/34;B65D 85/36,BAKOLAS DIMITRIOS,BAKOLAS DIMITRIOS,
EP0715810,13.06.1996,Method for the preparation of pizzas by pressing,[MI942467 1994-12-06T23:59:59.000Z IT],A21C 11/00;A21C 11/00,BRAIBANTI M G SPA,DEGLI ANGELI ALESSANDRO;CAPOVILLA ANDREA,
WO2011070510,17.06.2011,BOX FOR TRANSPORTING PIZZAS AND THE LIKE,[TO2009U000183 10.12.2009 IT],B65D 5/42,"LIZZIO, Filippo","LIZZIO, Filippo",
US6054697,26.04.2000,Pizza pan shielding systems and methods,[08053102 1997-07-26T23:59:59.000Z US],H05B 6/80;A21B 3/00;A21B 3/13;A47J 36/02;A47J 36/02;A47J 37/01;A47J 37/01;B65D 81/34;B65D 81/34,"Pizza Hut, Inc.",Woodward Steven J.;Ovadia David Z.;Johnson Larry B.;Dyer Malcolm F.;Reynolds Dana R.,
US5526569,19.06.1996,Pizza server,,A47J 43/28;A47G 21/00;A47G 21/04;A47J 43/00;A47J 43/28,"B. Via International Housewares, Inc.",Ancona Bruce,
